# Species	Genes	Alg.-Conn.	Ht_new.faa	Pb_new.faa	Pc_new.faa	Pf_new.faa	Pk_rmScaff_new.faa	Pv_new.faa	Py_new.faa	Tg_new.faa
8	10	0.104	542_g	3272_g,4993_g	1705_g	1471_g	1760_g	1676_g	2574_g	10869_g,11666_g
8	9	0.528	735_g	6647_g	3513_g	3163_g	3589_g	3519_g	1855_g	5972_g,6280_g
8	9	0.525	605_g	3132_g	959_g	314_g	991_g	944_g	334_g	405_g,769_g
8	9	0.488	1682_g	3033_g	1240_g	1796_g	1286_g	1221_g	610_g	10174_g,12348_g
8	9	0.47	449_g	3039_g	3635_g	3286_g	3719_g	3658_g	3108_g	10066_g,12455_g
8	9	0.451	1583_g	4105_g	3705_g	3357_g	3794_g	3590_g	3043_g	7331_g,7588_g
8	9	0.418	704_g	3192_g	1797_g	1381_g	1838_g	1764_g	2490_g	1365_g,1275_g
8	9	0.407	2_g	3111_g	882_g	394_g	917_g	862_g	266_g	13536_g,9130_g
8	9	0.396	1305_g	3060_g	3567_g	3220_g	3649_g	3721_g	3172_g	5702_g,6545_g
8	9	0.379	411_g	998_g	1263_g	1778_g	1309_g	1242_g	4701_g	2113_g,2444_g
8	9	0.361	19_g	52_g	2245_g	2230_g	2305_g	2202_g	1297_g	8589_g,4574_g
8	9	0.341	215_g	1656_g	587_g	3585_g	602_g	562_g	4305_g	7382_g,7536_g
8	9	0.335	2063_g	2383_g	2511_g	2505_g	2588_g	2472_g	1555_g	10425_g,12834_g
8	9	0.318	527_g	3103_g	757_g	3413_g	793_g	733_g	42_g	8751_g,3971_g
8	9	0.318	874_g	2464_g	2508_g	2501_g	2584_g	2469_g	1552_g	13512_g,9154_g
8	9	0.301	1896_g	1557_g	4547_g	2708_g	4660_g	4556_g	3921_g	388_g,2_g
8	9	0.295	57_g	2466_g	4357_g	3772_g	4467_g	4368_g	2859_g	4502_g,8517_g
8	9	0.293	1504_g	3166_g	4475_g	2632_g	4588_g	4482_g	3990_g	4428_g,8443_g
8	9	0.281	1013_g	2036_g	1295_g	1746_g	1340_g	1275_g	4732_g	10121_g,12400_g
8	9	0.28	1464_g	185_g	2758_g	4363_g	2827_g	2731_g	1950_g	10187_g,12335_g
8	9	0.265	841_g	2785_g	1552_g	1619_g	1606_g	1532_g	2723_g	10004_g,12514_g
8	9	0.253	2020_g	324_g	2735_g	4390_g	2802_g	2706_g	1975_g	13233_g,9434_g
8	9	0.25	377_g	2770_g	3685_g	3332_g	3773_g	3611_g	3061_g	2817_g,3498_g
8	9	0.235	847_g	2516_g	3429_g	5119_g	3507_g	3425_g	4591_g	11021_g,11818_g
8	9	0.222	292_g	462_g	663_g	3511_g	682_g	636_g	136_g	5749_g,6499_g
8	9	0.205	284_g	6250_g	342_g	639_g	347_g	331_g	1774_g	10441_g,12818_g
8	9	0.205	670_g	932_g	445_g	543_g	455_g	428_g	1681_g	7103_g,7813_g
8	9	0.202	1458_g	1015_g	3522_g	3172_g	3598_g	3527_g	1846_g	5771_g,6477_g
8	9	0.202	213_g	2299_g	3472_g	5163_g	3553_g	3466_g	3019_g	13289_g,9380_g
8	9	0.19	278_g	3440_g	4721_g	2873_g	4833_g	4722_g	3756_g	4195_g,8412_g
8	9	0.186	1006_g	3892_g	993_g	281_g	1024_g	977_g	366_g	11223_g,12020_g
8	9	0.185	485_g	602_g	2991_g	1171_g	3061_g	2945_g	3429_g	403_g,771_g
8	9	0.184	580_g	3297_g	41_g	4698_g	48_g	38_g	895_g	12536_g,9984_g
8	9	0.181	772_g	385_g	3897_g	4137_g	3979_g	3891_g	2175_g	6962_g,7950_g
8	9	0.179	568_g	4121_g	1740_g	1435_g	1783_g	1711_g	2541_g	2918_g,3599_g
8	9	0.172	344_g	4229_g	81_g	4662_g	90_g	76_g	857_g	10840_g,11637_g
8	9	0.169	274_g	3121_g	981_g	293_g	1012_g	965_g	354_g	5709_g,6538_g
8	9	0.159	2071_g	297_g	4387_g	3745_g	4498_g	4394_g	2834_g	6865_g,8048_g
8	9	0.157	1730_g	3003_g	2339_g	2327_g	2408_g	2298_g	1392_g	4686_g,5158_g
8	9	0.15	1138_g	4259_g	428_g	557_g	438_g	413_g	1695_g	5777_g,6471_g
8	9	0.148	748_g	985_g	1988_g	113_g	2024_g	1947_g	1048_g	2851_g,3532_g
8	9	0.147	1455_g	588_g	4155_g	3116_g	4253_g	4170_g	3612_g	13444_g,9221_g
8	9	0.145	2060_g	1415_g	3873_g	4113_g	3957_g	3866_g	2198_g	13641_g,9022_g
8	9	0.144	373_g	599_g	3008_g	1189_g	3078_g	2962_g	3448_g	13022_g,9642_g
8	9	0.144	747_g	986_g	1989_g	114_g	2025_g	1948_g	1049_g	11275_g,12072_g
8	9	0.137	1233_g	6882_g	4424_g	2579_g	4529_g	4427_g	4040_g	545_g,629_g
8	9	0.135	1005_g	6503_g	4343_g	3788_g	4451_g	4353_g	2875_g	1903_g,2359_g
8	9	0.135	976_g	5534_g	3554_g	3207_g	3635_g	3562_g	3185_g	1510_g,1128_g
8	9	0.128	23_g	269_g	2237_g	2222_g	2297_g	2194_g	1290_g	10505_g,12755_g
8	9	0.127	223_g	621_g	2802_g	1235_g	2878_g	2777_g	1907_g	2069_g,2190_g
8	9	0.125	1534_g	7176_g	4518_g	2678_g	4632_g	4526_g	3946_g	10495_g,12765_g
8	9	0.119	1310_g	3050_g	1769_g	1406_g	1816_g	1740_g	2513_g	13182_g,9484_g
8	9	0.119	302_g	3144_g	3323_g	875_g	3393_g	3303_g	3272_g	10427_g,12832_g
8	9	0.118	1206_g	1726_g	4005_g	4245_g	4102_g	4007_g	2065_g	1841_g,1024_g
8	9	0.118	549_g	6763_g	890_g	386_g	926_g	871_g	274_g	8301_g,4305_g
8	9	0.117	130_g	1321_g	2450_g	2443_g	2522_g	2408_g	1496_g	13099_g,9567_g
8	9	0.113	1015_g	5530_g	1681_g	1495_g	1739_g	1654_g	2598_g	5118_g,4646_g
8	9	0.112	543_g	3271_g	1704_g	1472_g	1759_g	1675_g	2575_g	4999_g,5471_g
8	9	0.111	1897_g	4148_g	3774_g	4014_g	3852_g	3770_g	2297_g	2852_g,3533_g
8	9	0.107	1654_g	6644_g	4477_g	2634_g	4590_g	4484_g	3988_g	10642_g,11439_g
8	9	0.107	1875_g	1820_g	961_g	312_g	993_g	946_g	336_g	249_g,142_g
8	9	0.106	1302_g	1847_g	4393_g	3739_g	4504_g	4399_g	2828_g	61_g,330_g
8	9	0.106	326_g	6438_g	3387_g	5085_g	3468_g	3371_g	4557_g	13115_g,9551_g
8	9	0.106	723_g	2022_g	3378_g	825_g	3458_g	3362_g	4548_g	10038_g,12482_g
8	9	0.103	689_g	202_g	3853_g	4092_g	3935_g	3844_g	2221_g	5932_g,6321_g
8	8	0.194	963_g	2645_g	4617_g	2773_g	4728_g	4621_g	3859_g	6853_g
8	8	0.158	492_g	6620_g	4439_g	2595_g	4545_g	4443_g	4026_g	1796_g
8	8	0.116	1953_g	6386_g	3218_g	4774_g	3292_g	3192_g	4122_g	7575_g
8	8	0.112	205_g	3701_g	2116_g	804_g	2165_g	2074_g	1170_g	8369_g
8	8	0.111	728_g	3922_g	1407_g	1636_g	1451_g	1383_g	4840_g	4111_g
8	8	0.105	644_g	645_g	559_g	3613_g	575_g	536_g	1572_g	2642_g
8	8	0.0917	1114_g	3323_g	2726_g	4399_g	2793_g	2697_g	1984_g	2958_g
8	8	0.084	1416_g	3860_g	2608_g	1092_g	2681_g	2584_g	700_g	615_g
8	8	0.0804	939_g	5341_g	858_g	418_g	893_g	839_g	245_g	9157_g
8	8	0.0641	1971_g	6755_g	2216_g	2198_g	2276_g	2172_g	1268_g	2084_g
8	8	0.0617	209_g	3426_g	1875_g	1305_g	1916_g	1839_g	2422_g	13623_g
8	8	0.0534	1614_g	1098_g	269_g	4480_g	287_g	257_g	4460_g	9860_g
8	8	0.0464	852_g	3766_g	2298_g	2285_g	2364_g	2258_g	1351_g	3058_g
8	8	0.0354	666_g	2737_g	4480_g	2637_g	4593_g	4487_g	3985_g	1735_g
8	8	0.033	1045_g	782_g	4623_g	2779_g	4734_g	4627_g	3853_g	576_g
8	8	0.0317	1459_g	842_g	190_g	4554_g	201_g	184_g	4384_g	2347_g
8	8	0.0198	570_g	1824_g	1165_g	1865_g	1208_g	1148_g	540_g	7517_g
8	8	0.013	949_g	1911_g	1075_g	1958_g	1108_g	1055_g	443_g	10328_g
7	10	0.261	555_g	4130_g	*	229_g	1081_g	1028_g	418_g	5396_g,5397_g,4924_g,4925_g
7	9	0.209	1078_g	534_g	*	3978_g,5161_g	3550_g	3464_g	3022_g	10375_g,12149_g
7	9	0.186	*	5520_g,3408_g	2582_g	1067_g	2655_g	2557_g	2328_g	2752_g,3433_g
7	9	0.167	*	554_g,6994_g	1251_g	1789_g	1297_g	1230_g	4689_g	10576_g,11373_g
7	9	0.149	*	4257_g	4532_g	2693_g	4645_g	4541_g,2439_g	3935_g	2840_g,3521_g
7	9	0.148	*	979_g,5548_g	2638_g	737_g	2711_g	2614_g	726_g	12667_g,9857_g
7	9	0.144	*	1135_g,5360_g	4159_g	3120_g	4257_g	4174_g	3616_g	1994_g,2265_g
7	9	0.12	*	3544_g	3482_g	5173_g	3562_g	3476_g	3010_g	10643_g,11440_g,5139_g
7	9	0.11	*	3242_g,3183_g	2171_g	2154_g	2228_g	2128_g	1223_g	10593_g,11390_g
7	9	0.1	1615_g	322_g,5423_g	1821_g	1356_g	1863_g	1787_g	*	5408_g,4936_g
7	8	0.72	*	3311_g	3329_g	869_g	3399_g	3308_g	4506_g	4542_g,8557_g
7	8	0.592	*	1167_g	4068_g	3038_g	4161_g	4087_g	3529_g	13282_g,9387_g
7	8	0.572	*	1885_g	4341_g	3791_g	4448_g	4351_g	2878_g	4758_g,5230_g
7	8	0.571	*	454_g	3847_g	4086_g	3929_g	3838_g	2227_g	4358_g,8251_g
7	8	0.559	*	872_g	2830_g	1261_g	2906_g	2802_g	1881_g	104_g,287_g
7	8	0.522	*	6481_g	3606_g	3258_g	3691_g	3683_g	3133_g	12570_g,9952_g
