# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Complete	581_g	2334.7	2069	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Complete	5009_g	3790.2	1966	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Complete	2203_g	1603.3	1343	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Complete	3674_g	1661.2	1718	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Complete	279_g	1438.9	1163	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Complete	1797_g	1023.8	1072	https://www.orthodb.org/v10?query=1166at5794	C2 domain
1204at5794	Complete	3618_g	1481.4	1312	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1482at5794	Complete	2859_g	1158.2	866	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Complete	314_g	1243.4	839	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Complete	2352_g	1460.0	981	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Complete	1589_g	1850.0	1180	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Complete	4039_g	1242.8	914	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1911at5794	Complete	737_g	1324.5	1092	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1928at5794	Complete	4086_g	1581.8	932	https://www.orthodb.org/v10?query=1928at5794	6-phosphofructokinase
1988at5794	Complete	4667_g	951.5	875	https://www.orthodb.org/v10?query=1988at5794	Importin beta-3 subunit, putative
2281at5794	Complete	4352_g	505.1	613	https://www.orthodb.org/v10?query=2281at5794	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 2
2321at5794	Complete	3163_g	1426.1	842	https://www.orthodb.org/v10?query=2321at5794	DNA polymerase
2374at5794	Complete	869_g	1326.0	828	https://www.orthodb.org/v10?query=2374at5794	Oxoglutarate dehydrogenase (Succinyl-transferring), E1 component
2387at5794	Complete	3734_g	1250.1	970	https://www.orthodb.org/v10?query=2387at5794	Exportin, putative
2587at5794	Complete	702_g	874.6	726	https://www.orthodb.org/v10?query=2587at5794	WD40-repeat-containing domain
2619at5794	Complete	1854_g	1276.9	847	https://www.orthodb.org/v10?query=2619at5794	Valyl-tRNA synthetase
2648at5794	Complete	1908_g	1089.3	843	https://www.orthodb.org/v10?query=2648at5794	Histidine kinase/HSP90-like ATPase
2676at5794	Complete	3601_g	1139.4	960	https://www.orthodb.org/v10?query=2676at5794	Leucyl-tRNA synthetase
2708at5794	Complete	454_g	842.4	745	https://www.orthodb.org/v10?query=2708at5794	Elongation factor 2
2737at5794	Complete	2709_g	781.5	863	https://www.orthodb.org/v10?query=2737at5794	peptidase M16 inactive domain-containing protein
2816at5794	Complete	3791_g	1531.0	803	https://www.orthodb.org/v10?query=2816at5794	Splicing factor 3B subunit 1, putative
2838at5794	Complete	4260_g	992.5	650	https://www.orthodb.org/v10?query=2838at5794	ATP-dependent helicase, C-terminal
2962at5794	Complete	1890_g	1221.5	697	https://www.orthodb.org/v10?query=2962at5794	Serine/threonine-protein phosphatase
3002at5794	Complete	1553_g	677.5	642	https://www.orthodb.org/v10?query=3002at5794	Coatomer subunit beta
3086at5794	Complete	4604_g	1071.2	921	https://www.orthodb.org/v10?query=3086at5794	Transcription elongation factor FACT 140 kDa, putative
3102at5794	Complete	3039_g	1074.3	784	https://www.orthodb.org/v10?query=3102at5794	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
3154at5794	Missing
3187at5794	Complete	3200_g	734.5	646	https://www.orthodb.org/v10?query=3187at5794	RNA cytidine acetyltransferase
3274at5794	Complete	4804_g	958.8	728	https://www.orthodb.org/v10?query=3274at5794	26S proteasome non-ATPase regulatory subunit 2, putative
3296at5794	Complete	1756_g	1442.2	727	https://www.orthodb.org/v10?query=3296at5794	Elongation factor 2
3349at5794	Complete	817_g	761.5	662	https://www.orthodb.org/v10?query=3349at5794	Importin subunit beta-1, putative
3366at5794	Complete	1456_g	1080.3	733	https://www.orthodb.org/v10?query=3366at5794	DNA helicase
3388at5794	Complete	4363_g	750.2	648	https://www.orthodb.org/v10?query=3388at5794	Ribosome biogenesis protein BMS1, putative
3446at5794	Complete	1619_g	1275.7	716	https://www.orthodb.org/v10?query=3446at5794	cGMP-dependent protein kinase
3522at5794	Complete	574_g	889.8	616	https://www.orthodb.org/v10?query=3522at5794	Gelsolin-like domain
3558at5794	Complete	713_g	1015.2	667	https://www.orthodb.org/v10?query=3558at5794	SNF2-related, N-terminal domain
3686at5794	Complete	3456_g	1014.7	889	https://www.orthodb.org/v10?query=3686at5794	Coatomer alpha subunit, putative
3730at5794	Complete	2285_g	830.6	622	https://www.orthodb.org/v10?query=3730at5794	Radical SAM
3823at5794	Complete	1625_g	1456.7	709	https://www.orthodb.org/v10?query=3823at5794	Ribonucleoside-diphosphate reductase
3933at5794	Complete	542_g	708.1	809	https://www.orthodb.org/v10?query=3933at5794	Wd g-beta repeat-containing protein
4086at5794	Complete	4359_g	1346.5	816	https://www.orthodb.org/v10?query=4086at5794	P-type ATPase
4144at5794	Complete	133_g	684.1	836	https://www.orthodb.org/v10?query=4144at5794	CLU domain
4152at5794	Complete	2241_g	944.7	746	https://www.orthodb.org/v10?query=4152at5794	P-type ATPase
4162at5794	Complete	2629_g	1055.6	874	https://www.orthodb.org/v10?query=4162at5794	Pre-mRNA splicing factor
4227at5794	Complete	2632_g	590.7	625	https://www.orthodb.org/v10?query=4227at5794	Vacuolar protein sorting-associated protein 35
4246at5794	Complete	2780_g	964.5	702	https://www.orthodb.org/v10?query=4246at5794	Threonine--tRNA ligase
4291at5794	Complete	4696_g	798.9	498	https://www.orthodb.org/v10?query=4291at5794	DNA replication licensing factor MCM3
4370at5794	Complete	922_g	762.0	762	https://www.orthodb.org/v10?query=4370at5794	Ubiquitin conjugation factor E4 B, putative
4404at5794	Complete	2135_g	812.1	499	https://www.orthodb.org/v10?query=4404at5794	Mini-chromosome maintenance, conserved site
4430at5794	Complete	2084_g	809.6	762	https://www.orthodb.org/v10?query=4430at5794	Eukaryotic translation initiation factor 3 subunit C
4526at5794	Complete	5087_g	602.3	586	https://www.orthodb.org/v10?query=4526at5794	Ubiquitin carboxyl-terminal hydrolase
4564at5794	Complete	886_g	1099.3	633	https://www.orthodb.org/v10?query=4564at5794	Protein transport protein SEC23
4642at5794	Complete	3357_g	1078.8	638	https://www.orthodb.org/v10?query=4642at5794	Helicase, C-terminal
4695at5794	Complete	3570_g	1423.0	697	https://www.orthodb.org/v10?query=4695at5794	ATPase, AAA-type, conserved site
4846at5794	Complete	4514_g	840.3	883	https://www.orthodb.org/v10?query=4846at5794	Ankyrin repeat-containing domain
4856at5794	Complete	4607_g	784.0	566	https://www.orthodb.org/v10?query=4856at5794	Eukaryotic translation initiation factor 3 subunit B
4967at5794	Complete	1071_g	594.9	499	https://www.orthodb.org/v10?query=4967at5794	Heat shock protein
5067at5794	Complete	414_g	393.7	464	https://www.orthodb.org/v10?query=5067at5794	Heat shock protein 110, putative
5247at5794	Complete	1688_g	996.3	594	https://www.orthodb.org/v10?query=5247at5794	Heat shock protein 90, putative
5412at5794	Complete	2362_g	523.1	598	https://www.orthodb.org/v10?query=5412at5794	Pre-mRNA-splicing factor SYF1
5445at5794	Complete	1439_g	557.7	538	https://www.orthodb.org/v10?query=5445at5794	Protein SEY1 homolog
5504at5794	Complete	4025_g	103.6	544	https://www.orthodb.org/v10?query=5504at5794	Putative rRNA methyltransferase
5510at5794	Complete	4898_g	376.1	495	https://www.orthodb.org/v10?query=5510at5794	Integral membrane protein
5696at5794	Complete	44_g	711.3	486	https://www.orthodb.org/v10?query=5696at5794	DNA ligase
5869at5794	Complete	639_g	943.3	521	https://www.orthodb.org/v10?query=5869at5794	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
5881at5794	Complete	3130_g	538.3	552	https://www.orthodb.org/v10?query=5881at5794	Phosphoinositide phospholipase C
6024at5794	Complete	3648_g	1006.6	837	https://www.orthodb.org/v10?query=6024at5794	Transportin, putative
6081at5794	Complete	1067_g	1107.5	612	https://www.orthodb.org/v10?query=6081at5794	Heat shock protein 90
6083at5794	Complete	1381_g	741.0	535	https://www.orthodb.org/v10?query=6083at5794	CTP synthase
6176at5794	Complete	2250_g	741.9	510	https://www.orthodb.org/v10?query=6176at5794	Polyadenylate-binding protein
6285at5794	Complete	3735_g	944.8	619	https://www.orthodb.org/v10?query=6285at5794	Vesicle-fusing ATPase
6307at5794	Complete	1892_g	1055.9	825	https://www.orthodb.org/v10?query=6307at5794	26S Proteasome non-ATPase regulatory subunit 1
6333at5794	Complete	2953_g	739.3	669	https://www.orthodb.org/v10?query=6333at5794	Coatomer subunit gamma
6336at5794	Duplicated	1007_g	636.1	529	https://www.orthodb.org/v10?query=6336at5794	Heat shock protein 70
6336at5794	Duplicated	4109_g	622.6	531	https://www.orthodb.org/v10?query=6336at5794	Heat shock protein 70
6336at5794	Duplicated	853_g	616.0	524	https://www.orthodb.org/v10?query=6336at5794	Heat shock protein 70
6367at5794	Complete	4197_g	748.2	492	https://www.orthodb.org/v10?query=6367at5794	Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain
6474at5794	Complete	1477_g	754.5	520	https://www.orthodb.org/v10?query=6474at5794	Glycyl-tRNA synthetase
6554at5794	Complete	5119_g	563.0	394	https://www.orthodb.org/v10?query=6554at5794	Bifunctional dihydrofolate reductase-thymidylate synthase
6605at5794	Complete	2154_g	944.1	561	https://www.orthodb.org/v10?query=6605at5794	Prolyl-tRNA synthetase
6785at5794	Complete	1764_g	499.7	492	https://www.orthodb.org/v10?query=6785at5794	Ribosome biogenesis protein TSR1, putative
