# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Complete	1715_g	2319.1	1970	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Complete	2771_g	3787.3	1962	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Complete	1273_g	1573.8	1418	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Complete	1630_g	1665.3	1527	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Complete	368_g	1416.8	1220	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Complete	609_g	975.1	999	https://www.orthodb.org/v10?query=1166at5794	C2 domain
1204at5794	Complete	1577_g	1467.7	1227	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1482at5794	Complete	3769_g	1144.2	863	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Complete	334_g	1232.8	861	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Complete	1416_g	1453.0	976	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Complete	2691_g	1858.4	1055	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Complete	2274_g	1240.5	926	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1911at5794	Complete	726_g	1287.6	1060	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1928at5794	Complete	2227_g	1554.8	933	https://www.orthodb.org/v10?query=1928at5794	6-phosphofructokinase
1988at5794	Complete	864_g	944.0	877	https://www.orthodb.org/v10?query=1988at5794	Importin beta-3 subunit, putative
2281at5794	Complete	1939_g	517.7	610	https://www.orthodb.org/v10?query=2281at5794	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 2
2321at5794	Complete	1855_g	1415.1	838	https://www.orthodb.org/v10?query=2321at5794	DNA polymerase
2374at5794	Complete	4506_g	1310.8	823	https://www.orthodb.org/v10?query=2374at5794	Oxoglutarate dehydrogenase (Succinyl-transferring), E1 component
2387at5794	Complete	2822_g	1245.0	919	https://www.orthodb.org/v10?query=2387at5794	Exportin, putative
2587at5794	Complete	760_g	860.2	723	https://www.orthodb.org/v10?query=2587at5794	WD40-repeat-containing domain
2619at5794	Complete	550_g	1246.8	891	https://www.orthodb.org/v10?query=2619at5794	Valyl-tRNA synthetase
2648at5794	Complete	492_g	1073.7	833	https://www.orthodb.org/v10?query=2648at5794	Histidine kinase/HSP90-like ATPase
2676at5794	Complete	4289_g	1131.9	936	https://www.orthodb.org/v10?query=2676at5794	Leucyl-tRNA synthetase
2708at5794	Complete	210_g	828.0	748	https://www.orthodb.org/v10?query=2708at5794	Elongation factor 2
2737at5794	Complete	3920_g	743.1	830	https://www.orthodb.org/v10?query=2737at5794	peptidase M16 inactive domain-containing protein
2816at5794	Complete	2878_g	1524.5	813	https://www.orthodb.org/v10?query=2816at5794	Splicing factor 3B subunit 1, putative
2838at5794	Complete	2048_g	984.2	681	https://www.orthodb.org/v10?query=2838at5794	ATP-dependent helicase, C-terminal
2962at5794	Complete	509_g	1215.2	669	https://www.orthodb.org/v10?query=2962at5794	Serine/threonine-protein phosphatase
3002at5794	Complete	2655_g	654.3	748	https://www.orthodb.org/v10?query=3002at5794	Coatomer subunit beta
3086at5794	Complete	802_g	1047.3	866	https://www.orthodb.org/v10?query=3086at5794	Transcription elongation factor FACT 140 kDa, putative
3102at5794	Complete	3530_g	1073.5	766	https://www.orthodb.org/v10?query=3102at5794	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
3154at5794	Complete	3355_g	1423.7	938	https://www.orthodb.org/v10?query=3154at5794	P-type ATPase
3187at5794	Complete	3191_g	730.0	681	https://www.orthodb.org/v10?query=3187at5794	RNA cytidine acetyltransferase
3274at5794	Complete	4148_g	892.6	691	https://www.orthodb.org/v10?query=3274at5794	26S proteasome non-ATPase regulatory subunit 2, putative
3296at5794	Complete	4722_g	1443.5	727	https://www.orthodb.org/v10?query=3296at5794	Elongation factor 2
3349at5794	Complete	1157_g	762.1	665	https://www.orthodb.org/v10?query=3349at5794	Importin subunit beta-1, putative
3366at5794	Complete	2560_g	1073.4	730	https://www.orthodb.org/v10?query=3366at5794	DNA helicase
3388at5794	Complete	1950_g	736.8	633	https://www.orthodb.org/v10?query=3388at5794	Ribosome biogenesis protein BMS1, putative
3446at5794	Complete	2723_g	1266.7	714	https://www.orthodb.org/v10?query=3446at5794	cGMP-dependent protein kinase
3522at5794	Complete	1710_g	921.4	615	https://www.orthodb.org/v10?query=3522at5794	Gelsolin-like domain
3558at5794	Complete	749_g	1026.8	659	https://www.orthodb.org/v10?query=3558at5794	SNF2-related, N-terminal domain
3686at5794	Complete	82_g	1023.2	897	https://www.orthodb.org/v10?query=3686at5794	Coatomer alpha subunit, putative
3730at5794	Complete	1351_g	833.7	579	https://www.orthodb.org/v10?query=3730at5794	Radical SAM
3823at5794	Complete	3366_g	1452.5	708	https://www.orthodb.org/v10?query=3823at5794	Ribonucleoside-diphosphate reductase
3933at5794	Complete	1680_g	681.5	783	https://www.orthodb.org/v10?query=3933at5794	Wd g-beta repeat-containing protein
4086at5794	Complete	1946_g	1342.9	814	https://www.orthodb.org/v10?query=4086at5794	P-type ATPase
4144at5794	Complete	1065_g	687.9	820	https://www.orthodb.org/v10?query=4144at5794	CLU domain
4152at5794	Complete	1307_g	933.2	732	https://www.orthodb.org/v10?query=4152at5794	P-type ATPase
4162at5794	Complete	3993_g	1039.8	821	https://www.orthodb.org/v10?query=4162at5794	Pre-mRNA splicing factor
4227at5794	Complete	3990_g	572.0	549	https://www.orthodb.org/v10?query=4227at5794	Vacuolar protein sorting-associated protein 35
4246at5794	Complete	3852_g	978.2	607	https://www.orthodb.org/v10?query=4246at5794	Threonine--tRNA ligase
4291at5794	Complete	893_g	797.9	499	https://www.orthodb.org/v10?query=4291at5794	DNA replication licensing factor MCM3
4370at5794	Complete	3226_g	754.7	770	https://www.orthodb.org/v10?query=4370at5794	Ubiquitin conjugation factor E4 B, putative
4404at5794	Complete	3354_g	809.8	499	https://www.orthodb.org/v10?query=4404at5794	Mini-chromosome maintenance, conserved site
4430at5794	Complete	3306_g	829.5	721	https://www.orthodb.org/v10?query=4430at5794	Eukaryotic translation initiation factor 3 subunit C
4526at5794	Complete	4559_g	580.0	601	https://www.orthodb.org/v10?query=4526at5794	Ubiquitin carboxyl-terminal hydrolase
4564at5794	Complete	3260_g	1097.4	633	https://www.orthodb.org/v10?query=4564at5794	Protein transport protein SEC23
4642at5794	Complete	3043_g	1081.9	645	https://www.orthodb.org/v10?query=4642at5794	Helicase, C-terminal
4695at5794	Complete	4321_g	1421.1	686	https://www.orthodb.org/v10?query=4695at5794	ATPase, AAA-type, conserved site
4846at5794	Complete	4423_g	855.1	877	https://www.orthodb.org/v10?query=4846at5794	Ankyrin repeat-containing domain
4856at5794	Complete	805_g	787.5	556	https://www.orthodb.org/v10?query=4856at5794	Eukaryotic translation initiation factor 3 subunit B
4967at5794	Complete	678_g	589.2	535	https://www.orthodb.org/v10?query=4967at5794	Heat shock protein
5067at5794	Complete	247_g	373.6	525	https://www.orthodb.org/v10?query=5067at5794	Heat shock protein 110, putative
5247at5794	Complete	4788_g	1005.1	580	https://www.orthodb.org/v10?query=5247at5794	Heat shock protein 90, putative
5412at5794	Complete	1426_g	596.6	586	https://www.orthodb.org/v10?query=5412at5794	Pre-mRNA-splicing factor SYF1
5445at5794	Complete	2545_g	550.1	545	https://www.orthodb.org/v10?query=5445at5794	Protein SEY1 homolog
5504at5794	Complete	1650_g	624.0	887	https://www.orthodb.org/v10?query=5504at5794	Putative rRNA methyltransferase
5510at5794	Complete	4238_g	344.3	459	https://www.orthodb.org/v10?query=5510at5794	Integral membrane protein
5696at5794	Complete	981_g	708.6	483	https://www.orthodb.org/v10?query=5696at5794	DNA ligase
5869at5794	Complete	1774_g	936.7	517	https://www.orthodb.org/v10?query=5869at5794	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
5881at5794	Complete	3626_g	533.7	654	https://www.orthodb.org/v10?query=5881at5794	Phosphoinositide phospholipase C
6024at5794	Complete	1605_g	1018.7	802	https://www.orthodb.org/v10?query=6024at5794	Transportin, putative
6081at5794	Complete	2328_g	1107.5	602	https://www.orthodb.org/v10?query=6081at5794	Heat shock protein 90
6083at5794	Complete	2490_g	738.1	472	https://www.orthodb.org/v10?query=6083at5794	CTP synthase
6176at5794	Complete	1317_g	735.3	450	https://www.orthodb.org/v10?query=6176at5794	Polyadenylate-binding protein
6285at5794	Complete	2824_g	935.8	618	https://www.orthodb.org/v10?query=6285at5794	Vesicle-fusing ATPase
6307at5794	Complete	507_g	1042.2	803	https://www.orthodb.org/v10?query=6307at5794	26S Proteasome non-ATPase regulatory subunit 1
6333at5794	Complete	3676_g	714.1	646	https://www.orthodb.org/v10?query=6333at5794	Coatomer subunit gamma
6336at5794	Complete	3775_g	1038.8	543	https://www.orthodb.org/v10?query=6336at5794	Heat shock protein 70
6367at5794	Complete	2114_g	736.6	462	https://www.orthodb.org/v10?query=6367at5794	Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain
6474at5794	Complete	2579_g	749.3	516	https://www.orthodb.org/v10?query=6474at5794	Glycyl-tRNA synthetase
6554at5794	Complete	4591_g	563.3	427	https://www.orthodb.org/v10?query=6554at5794	Bifunctional dihydrofolate reductase-thymidylate synthase
6605at5794	Complete	1223_g	940.7	559	https://www.orthodb.org/v10?query=6605at5794	Prolyl-tRNA synthetase
6785at5794	Complete	4715_g	478.4	492	https://www.orthodb.org/v10?query=6785at5794	Ribosome biogenesis protein TSR1, putative
6796at5794	Complete	3070_g	591.3	478	https://www.orthodb.org/v10?query=6796at5794	Sec1-like protein
6891at5794	Complete	1053_g	960.8	507	https://www.orthodb.org/v10?query=6891at5794	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
6993at5794	Complete	1192_g	677.2	436	https://www.orthodb.org/v10?query=6993at5794	adenylosuccinate lyase, putative
7036at5794	Complete	142_g	272.5	360	https://www.orthodb.org/v10?query=7036at5794	Syntaxin binding protein, putative
7091at5794	Complete	4399_g	786.1	572	https://www.orthodb.org/v10?query=7091at5794	Topoisomerase I
7157at5794	Complete	2785_g	673.8	541	https://www.orthodb.org/v10?query=7157at5794	Pre-mRNA-splicing factor CLF1, putative
7233at5794	Complete	4730_g	341.8	517	https://www.orthodb.org/v10?query=7233at5794	Flavodoxin domain-containing protein
7295at5794	Complete	4214_g	678.8	465	https://www.orthodb.org/v10?query=7295at5794	GroEL-like apical domain superfamily
7349at5794	Complete	1297_g	807.4	550	https://www.orthodb.org/v10?query=7349at5794	Heat shock protein 90, putative
7423at5794	Complete	3073_g	513.3	444	https://www.orthodb.org/v10?query=7423at5794	Myb-like DNA-binding domain-containing protein, putative
7447at5794	Complete	4241_g	723.0	402	https://www.orthodb.org/v10?query=7447at5794	ATP synthase subunit alpha
7485at5794	Complete	3921_g	745.1	523	https://www.orthodb.org/v10?query=7485at5794	Heat shock protein 90, putative
7555at5794	Complete	3668_g	611.4	428	https://www.orthodb.org/v10?query=7555at5794	WD40-repeat-containing domain
7566at5794	Complete	128_g	414.7	379	https://www.orthodb.org/v10?query=7566at5794	Eukaryotic translation initiation factor 3 subunit L
7633at5794	Complete	1917_g	606.2	388	https://www.orthodb.org/v10?query=7633at5794	aspartate-tRNA ligase
7668at5794	Complete	1251_g	437.7	541	https://www.orthodb.org/v10?query=7668at5794	DNA-binding chaperone, putative
7687at5794	Complete	1182_g	666.0	424	https://www.orthodb.org/v10?query=7687at5794	Importin subunit alpha
7815at5794	Complete	3148_g	696.4	496	https://www.orthodb.org/v10?query=7815at5794	Glutamine-fructose-6-phosphate transaminase (Isomerizing)
7831at5794	Complete	2764_g	856.9	422	https://www.orthodb.org/v10?query=7831at5794	Vacuolar ATP synthase subunit b, putative
7857at5794	Complete	1397_g	593.7	709	https://www.orthodb.org/v10?query=7857at5794	Arm repeat-containing protein
7863at5794	Complete	2902_g	539.5	384	https://www.orthodb.org/v10?query=7863at5794	hypothetical protein, conserved
8020at5794	Complete	625_g	694.1	485	https://www.orthodb.org/v10?query=8020at5794	Cysteinyl-tRNA synthetase
8041at5794	Complete	2859_g	723.9	442	https://www.orthodb.org/v10?query=8041at5794	GroEL-like apical domain superfamily
8055at5794	Complete	1587_g	649.9	427	https://www.orthodb.org/v10?query=8055at5794	Poly(A) polymerase PAP, putative
8389at5794	Complete	306_g	669.9	453	https://www.orthodb.org/v10?query=8389at5794	Tryptophanyl-tRNA synthetase
8420at5794	Complete	629_g	848.0	478	https://www.orthodb.org/v10?query=8420at5794	Heat shock protein 60, putative
8643at5794	Complete	900_g	915.9	582	https://www.orthodb.org/v10?query=8643at5794	RNA helicase 1, putative
8677at5794	Complete	2338_g	608.8	430	https://www.orthodb.org/v10?query=8677at5794	ATPase family AAA domain-containing protein 3
8690at5794	Complete	2065_g	379.3	340	https://www.orthodb.org/v10?query=8690at5794	Aspartyl aminopeptidase, putative
8695at5794	Complete	1117_g	456.5	426	https://www.orthodb.org/v10?query=8695at5794	tRNA (guanine(26)-N(2))-dimethyltransferase
8725at5794	Complete	1688_g	366.5	358	https://www.orthodb.org/v10?query=8725at5794	Zinc finger protein, putative
8735at5794	Complete	2737_g	563.8	366	https://www.orthodb.org/v10?query=8735at5794	WD40-repeat-containing domain
8813at5794	Complete	2603_g	471.5	336	https://www.orthodb.org/v10?query=8813at5794	Nucleolar GTP-binding protein 2
8866at5794	Complete	2268_g	527.8	385	https://www.orthodb.org/v10?query=8866at5794	DNA primase large subunit
8903at5794	Complete	230_g	744.5	387	https://www.orthodb.org/v10?query=8903at5794	Protein transport protein Sec61 alpha subunit isoform 1, putative
8944at5794	Complete	4768_g	524.8	369	https://www.orthodb.org/v10?query=8944at5794	Cytosol aminopeptidase, putative
9037at5794	Complete	102_g	741.7	465	https://www.orthodb.org/v10?query=9037at5794	TCP-1 chaperonin
9069at5794	Complete	4402_g	572.2	478	https://www.orthodb.org/v10?query=9069at5794	Peptidyl-prolyl cis-trans isomerase
9164at5794	Complete	2523_g	377.0	312	https://www.orthodb.org/v10?query=9164at5794	2-(3-amino-3-carboxypropyl)histidine synthase subunit 1
9293at5794	Complete	1424_g	784.3	410	https://www.orthodb.org/v10?query=9293at5794	ATP synthase subunit beta
9319at5794	Complete	1842_g	321.2	290	https://www.orthodb.org/v10?query=9319at5794	erythrocyte membrane-associated antigen
9322at5794	Complete	1112_g	700.2	477	https://www.orthodb.org/v10?query=9322at5794	Translocation protein SEC63
9332at5794	Complete	191_g	690.4	422	https://www.orthodb.org/v10?query=9332at5794	Lysine--tRNA ligase
9361at5794	Complete	136_g	674.5	537	https://www.orthodb.org/v10?query=9361at5794	Nucleolar GTP-binding protein 1
9369at5794	Complete	2494_g	797.3	401	https://www.orthodb.org/v10?query=9369at5794	Eukaryotic translation initiation factor 2 gamma subunit, putative
9406at5794	Complete	1975_g	653.8	455	https://www.orthodb.org/v10?query=9406at5794	Phenylalanyl-tRNA synthetase alpha chain
9462at5794	Complete	277_g	298.2	230	https://www.orthodb.org/v10?query=9462at5794	RNA lariat debranching enzyme, putative
9529at5794	Complete	2452_g	483.2	480	https://www.orthodb.org/v10?query=9529at5794	Ribosome biogenesis protein BOP1, putative
9588at5794	Complete	4295_g	448.9	327	https://www.orthodb.org/v10?query=9588at5794	Methylthiotransferase, N-terminal
