# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Duplicated	10091_g	2185.8	1916	https://www.orthodb.org/v10?query=274at5794	Armadillo
274at5794	Duplicated	12430_g	2088.0	1821	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Duplicated	8030_g	3780.4	1924	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
330at5794	Duplicated	6883_g	3714.1	1924	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Duplicated	2916_g	1416.9	1302	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
615at5794	Duplicated	3597_g	1416.9	1302	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Duplicated	1937_g	1380.2	1280	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
725at5794	Duplicated	2324_g	1380.2	1280	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Duplicated	11193_g	1247.6	1142	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
820at5794	Duplicated	11990_g	1247.6	1142	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Missing
1204at5794	Duplicated	13092_g	1412.2	1189	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1204at5794	Duplicated	9574_g	1412.2	1189	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1482at5794	Duplicated	7109_g	472.1	664	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1482at5794	Duplicated	7807_g	472.1	664	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1482at5794	Duplicated	5959_g	418.4	587	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1482at5794	Duplicated	6293_g	418.4	587	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Duplicated	405_g	1153.6	813	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1595at5794	Duplicated	769_g	1153.6	813	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Duplicated	6821_g	1297.0	965	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1612at5794	Duplicated	8092_g	1297.0	965	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Duplicated	10060_g	1422.9	1060	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1619at5794	Duplicated	12460_g	1336.1	1021	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Duplicated	1739_g	1177.7	903	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1870at5794	Duplicated	922_g	1177.7	903	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1911at5794	Duplicated	12667_g	1200.4	949	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1911at5794	Duplicated	9857_g	1200.4	949	https://www.orthodb.org/v10?query=1911at5794	C2 domain
