# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Complete	412_g	2366.9	1929	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Complete	2952_g	3791.0	1943	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Complete	2280_g	1600.2	1411	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Complete	508_g	1693.5	1473	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Complete	1026_g	1419.6	1161	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Complete	1285_g	1024.7	965	https://www.orthodb.org/v10?query=1166at5794	C2 domain
1204at5794	Complete	569_g	1497.0	1211	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1482at5794	Complete	4816_g	1132.3	860	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Complete	991_g	1240.1	808	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Complete	2430_g	1451.5	974	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Complete	1637_g	1857.2	1056	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Complete	3882_g	1234.6	917	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1911at5794	Complete	2711_g	1311.2	1062	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1928at5794	Complete	3929_g	1579.2	937	https://www.orthodb.org/v10?query=1928at5794	6-phosphofructokinase
1988at5794	Complete	83_g	962.1	872	https://www.orthodb.org/v10?query=1988at5794	Importin beta-3 subunit, putative
2281at5794	Complete	2841_g	525.2	575	https://www.orthodb.org/v10?query=2281at5794	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 2
