# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Complete	401_g	2372.8	2013	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Complete	2875_g	3790.3	1951	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Complete	2219_g	1602.4	1412	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Complete	497_g	1697.0	1446	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Complete	994_g	1407.7	1134	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Complete	1239_g	1027.7	960	https://www.orthodb.org/v10?query=1166at5794	C2 domain
1204at5794	Complete	554_g	1276.2	1088	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1482at5794	Complete	4706_g	1151.0	870	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Complete	959_g	1232.6	817	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Complete	2363_g	1459.7	979	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Complete	1585_g	1859.4	1056	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Complete	3802_g	1235.3	918	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1911at5794	Complete	2638_g	1310.6	1052	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1928at5794	Complete	3847_g	1578.5	946	https://www.orthodb.org/v10?query=1928at5794	6-phosphofructokinase
1988at5794	Complete	75_g	962.5	870	https://www.orthodb.org/v10?query=1988at5794	Importin beta-3 subunit, putative
2281at5794	Complete	2769_g	516.4	559	https://www.orthodb.org/v10?query=2281at5794	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 2
2321at5794	Complete	3513_g	1425.3	844	https://www.orthodb.org/v10?query=2321at5794	DNA polymerase
2374at5794	Complete	3329_g	1322.0	824	https://www.orthodb.org/v10?query=2374at5794	Oxoglutarate dehydrogenase (Succinyl-transferring), E1 component
2387at5794	Complete	4398_g	1251.3	922	https://www.orthodb.org/v10?query=2387at5794	Exportin, putative
2587at5794	Complete	2670_g	875.4	731	https://www.orthodb.org/v10?query=2587at5794	WD40-repeat-containing domain
2619at5794	Complete	1178_g	1280.0	816	https://www.orthodb.org/v10?query=2619at5794	Valyl-tRNA synthetase
2648at5794	Complete	1122_g	1096.7	846	https://www.orthodb.org/v10?query=2648at5794	Histidine kinase/HSP90-like ATPase
2676at5794	Complete	571_g	1018.7	843	https://www.orthodb.org/v10?query=2676at5794	Leucyl-tRNA synthetase
2708at5794	Complete	819_g	834.6	712	https://www.orthodb.org/v10?query=2708at5794	Elongation factor 2
2737at5794	Complete	4548_g	784.3	756	https://www.orthodb.org/v10?query=2737at5794	peptidase M16 inactive domain-containing protein
2816at5794	Complete	4341_g	1538.1	822	https://www.orthodb.org/v10?query=2816at5794	Splicing factor 3B subunit 1, putative
2838at5794	Complete	4021_g	983.7	626	https://www.orthodb.org/v10?query=2838at5794	ATP-dependent helicase, C-terminal
2962at5794	Complete	1140_g	1213.2	667	https://www.orthodb.org/v10?query=2962at5794	Serine/threonine-protein phosphatase
3002at5794	Complete	1621_g	687.0	651	https://www.orthodb.org/v10?query=3002at5794	Coatomer subunit beta
3086at5794	Complete	141_g	1087.3	811	https://www.orthodb.org/v10?query=3086at5794	Transcription elongation factor FACT 140 kDa, putative
3102at5794	Complete	4069_g	1086.9	795	https://www.orthodb.org/v10?query=3102at5794	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
3154at5794	Complete	1536_g	1437.8	903	https://www.orthodb.org/v10?query=3154at5794	P-type ATPase
3187at5794	Complete	3548_g	726.0	630	https://www.orthodb.org/v10?query=3187at5794	RNA cytidine acetyltransferase
3274at5794	Complete	3186_g	962.1	698	https://www.orthodb.org/v10?query=3274at5794	26S proteasome non-ATPase regulatory subunit 2, putative
3296at5794	Complete	1285_g	1443.4	727	https://www.orthodb.org/v10?query=3296at5794	Elongation factor 2
3349at5794	Complete	2103_g	767.7	662	https://www.orthodb.org/v10?query=3349at5794	Importin subunit beta-1, putative
3366at5794	Complete	1721_g	1071.1	766	https://www.orthodb.org/v10?query=3366at5794	DNA helicase
3388at5794	Complete	2758_g	735.6	594	https://www.orthodb.org/v10?query=3388at5794	Ribosome biogenesis protein BMS1, putative
3446at5794	Complete	1552_g	1274.8	716	https://www.orthodb.org/v10?query=3446at5794	cGMP-dependent protein kinase
3522at5794	Complete	409_g	924.6	619	https://www.orthodb.org/v10?query=3522at5794	Gelsolin-like domain
3558at5794	Complete	2660_g	941.5	564	https://www.orthodb.org/v10?query=3558at5794	SNF2-related, N-terminal domain
3686at5794	Complete	714_g	1041.0	875	https://www.orthodb.org/v10?query=3686at5794	Coatomer alpha subunit, putative
3730at5794	Complete	2298_g	832.4	521	https://www.orthodb.org/v10?query=3730at5794	Radical SAM
3823at5794	Complete	1547_g	1452.0	708	https://www.orthodb.org/v10?query=3823at5794	Ribonucleoside-diphosphate reductase
3933at5794	Complete	446_g	691.4	749	https://www.orthodb.org/v10?query=3933at5794	Wd g-beta repeat-containing protein
4086at5794	Complete	2762_g	1333.5	827	https://www.orthodb.org/v10?query=4086at5794	P-type ATPase
4144at5794	Complete	2008_g	646.7	733	https://www.orthodb.org/v10?query=4144at5794	CLU domain
4152at5794	Complete	2256_g	951.4	750	https://www.orthodb.org/v10?query=4152at5794	P-type ATPase
4162at5794	Complete	4472_g	1052.4	845	https://www.orthodb.org/v10?query=4162at5794	Pre-mRNA splicing factor
4227at5794	Complete	4475_g	601.4	544	https://www.orthodb.org/v10?query=4227at5794	Vacuolar protein sorting-associated protein 35
4246at5794	Complete	4624_g	983.0	603	https://www.orthodb.org/v10?query=4246at5794	Threonine--tRNA ligase
4291at5794	Complete	42_g	798.4	503	https://www.orthodb.org/v10?query=4291at5794	DNA replication licensing factor MCM3
4370at5794	Complete	3279_g	769.1	719	https://www.orthodb.org/v10?query=4370at5794	Ubiquitin conjugation factor E4 B, putative
4404at5794	Complete	1534_g	811.1	500	https://www.orthodb.org/v10?query=4404at5794	Mini-chromosome maintenance, conserved site
