# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Complete	390_g	2368.8	1919	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Complete	2844_g	3791.8	1949	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Complete	2176_g	1608.9	1412	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Complete	477_g	1697.5	1452	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Complete	978_g	1404.5	1144	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Complete	1220_g	1032.1	962	https://www.orthodb.org/v10?query=1166at5794	C2 domain
1204at5794	Complete	531_g	1452.5	1190	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1482at5794	Complete	4706_g	1157.1	862	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Complete	944_g	1228.8	818	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Complete	2323_g	1449.4	986	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Complete	1561_g	1863.3	1058	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Complete	3796_g	1235.0	919	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1911at5794	Complete	2614_g	1314.2	1049	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1928at5794	Complete	3838_g	1580.1	947	https://www.orthodb.org/v10?query=1928at5794	6-phosphofructokinase
1988at5794	Complete	70_g	963.3	869	https://www.orthodb.org/v10?query=1988at5794	Importin beta-3 subunit, putative
2281at5794	Complete	2742_g	527.0	561	https://www.orthodb.org/v10?query=2281at5794	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 2
2321at5794	Complete	3519_g	1417.6	842	https://www.orthodb.org/v10?query=2321at5794	DNA polymerase
2374at5794	Complete	3308_g	1315.6	824	https://www.orthodb.org/v10?query=2374at5794	Oxoglutarate dehydrogenase (Succinyl-transferring), E1 component
2387at5794	Complete	4404_g	1256.5	922	https://www.orthodb.org/v10?query=2387at5794	Exportin, putative
2587at5794	Complete	2646_g	856.5	729	https://www.orthodb.org/v10?query=2587at5794	WD40-repeat-containing domain
2619at5794	Complete	1161_g	1265.2	806	https://www.orthodb.org/v10?query=2619at5794	Valyl-tRNA synthetase
2648at5794	Complete	1104_g	1100.0	847	https://www.orthodb.org/v10?query=2648at5794	Histidine kinase/HSP90-like ATPase
2676at5794	Complete	548_g	1150.6	881	https://www.orthodb.org/v10?query=2676at5794	Leucyl-tRNA synthetase
2708at5794	Complete	804_g	843.1	731	https://www.orthodb.org/v10?query=2708at5794	Elongation factor 2
2737at5794	Complete	4557_g	805.7	724	https://www.orthodb.org/v10?query=2737at5794	peptidase M16 inactive domain-containing protein
2816at5794	Complete	4351_g	1539.7	823	https://www.orthodb.org/v10?query=2816at5794	Splicing factor 3B subunit 1, putative
2838at5794	Complete	4022_g	979.6	650	https://www.orthodb.org/v10?query=2838at5794	ATP-dependent helicase, C-terminal
2962at5794	Complete	1123_g	1217.1	668	https://www.orthodb.org/v10?query=2962at5794	Serine/threonine-protein phosphatase
3002at5794	Complete	1596_g	683.1	648	https://www.orthodb.org/v10?query=3002at5794	Coatomer subunit beta
3086at5794	Complete	134_g	1089.4	810	https://www.orthodb.org/v10?query=3086at5794	Transcription elongation factor FACT 140 kDa, putative
3102at5794	Complete	4088_g	1077.4	783	https://www.orthodb.org/v10?query=3102at5794	116kDa U5 small nuclear ribonucleoprotein component, C-terminal
3154at5794	Complete	1514_g	1436.1	892	https://www.orthodb.org/v10?query=3154at5794	P-type ATPase
3187at5794	Complete	3555_g	718.1	640	https://www.orthodb.org/v10?query=3187at5794	RNA cytidine acetyltransferase
3274at5794	Complete	3163_g	959.3	697	https://www.orthodb.org/v10?query=3274at5794	26S proteasome non-ATPase regulatory subunit 2, putative
3296at5794	Complete	1265_g	1443.8	727	https://www.orthodb.org/v10?query=3296at5794	Elongation factor 2
3349at5794	Complete	2061_g	766.8	662	https://www.orthodb.org/v10?query=3349at5794	Importin subunit beta-1, putative
3366at5794	Complete	1691_g	1073.5	766	https://www.orthodb.org/v10?query=3366at5794	DNA helicase
3388at5794	Complete	2731_g	722.4	603	https://www.orthodb.org/v10?query=3388at5794	Ribosome biogenesis protein BMS1, putative
3446at5794	Complete	1532_g	1277.3	716	https://www.orthodb.org/v10?query=3446at5794	cGMP-dependent protein kinase
3522at5794	Complete	396_g	925.8	616	https://www.orthodb.org/v10?query=3522at5794	Gelsolin-like domain
3558at5794	Complete	2636_g	1031.0	672	https://www.orthodb.org/v10?query=3558at5794	SNF2-related, N-terminal domain
3686at5794	Complete	692_g	1020.4	866	https://www.orthodb.org/v10?query=3686at5794	Coatomer alpha subunit, putative
3730at5794	Complete	2258_g	827.7	512	https://www.orthodb.org/v10?query=3730at5794	Radical SAM
3823at5794	Complete	1526_g	1452.9	708	https://www.orthodb.org/v10?query=3823at5794	Ribonucleoside-diphosphate reductase
3933at5794	Complete	429_g	691.9	740	https://www.orthodb.org/v10?query=3933at5794	Wd g-beta repeat-containing protein
4086at5794	Complete	2735_g	1325.2	819	https://www.orthodb.org/v10?query=4086at5794	P-type ATPase
4144at5794	Complete	1967_g	712.7	773	https://www.orthodb.org/v10?query=4144at5794	CLU domain
4152at5794	Complete	2214_g	924.0	728	https://www.orthodb.org/v10?query=4152at5794	P-type ATPase
4162at5794	Complete	4479_g	1048.7	840	https://www.orthodb.org/v10?query=4162at5794	Pre-mRNA splicing factor
4227at5794	Complete	4482_g	599.4	491	https://www.orthodb.org/v10?query=4227at5794	Vacuolar protein sorting-associated protein 35
