# BUSCO version is: 5.4.5 
# The lineage dataset is: apicomplexa_odb10 (Creation date: 2020-09-10, number of genomes: 54, number of BUSCOs: 446)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
274at5794	Fragmented	4285_g	1146.4	886	https://www.orthodb.org/v10?query=274at5794	Armadillo
330at5794	Fragmented	187_g	1406.1	676	https://www.orthodb.org/v10?query=330at5794	Pre-mRNA-processing-splicing factor 8, putative
615at5794	Fragmented	973_g	1017.9	882	https://www.orthodb.org/v10?query=615at5794	Clathrin heavy chain
725at5794	Complete	1492_g	1075.8	733	https://www.orthodb.org/v10?query=725at5794	DNA polymerase epsilon catalytic subunit
820at5794	Fragmented	3894_g	989.9	654	https://www.orthodb.org/v10?query=820at5794	WD40-repeat-containing domain
1166at5794	Complete	2592_g	993.7	965	https://www.orthodb.org/v10?query=1166at5794	C2 domain
1204at5794	Fragmented	6809_g	899.1	652	https://www.orthodb.org/v10?query=1204at5794	Zinc finger, PHD-type
1482at5794	Complete	2523_g	1145.9	883	https://www.orthodb.org/v10?query=1482at5794	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
1595at5794	Complete	3132_g	1234.0	852	https://www.orthodb.org/v10?query=1595at5794	Aminoacyl-tRNA synthetase, class Ia
1612at5794	Complete	1124_g	1310.5	925	https://www.orthodb.org/v10?query=1612at5794	Splicing factor 3B subunit 3, putative
1619at5794	Complete	1673_g	1589.6	884	https://www.orthodb.org/v10?query=1619at5794	DNA topoisomerase 2
1870at5794	Fragmented	3539_g	740.3	576	https://www.orthodb.org/v10?query=1870at5794	importin-beta N-terminal domain-containing protein
1911at5794	Complete	5548_g	859.2	621	https://www.orthodb.org/v10?query=1911at5794	C2 domain
1928at5794	Complete	454_g	1554.2	933	https://www.orthodb.org/v10?query=1928at5794	6-phosphofructokinase
1988at5794	Complete	7232_g	945.2	874	https://www.orthodb.org/v10?query=1988at5794	Importin beta-3 subunit, putative
2281at5794	Complete	3307_g	514.2	595	https://www.orthodb.org/v10?query=2281at5794	Cap-specific mRNA (Nucleoside-2'-O-)-methyltransferase 2
2321at5794	Complete	6647_g	1303.6	803	https://www.orthodb.org/v10?query=2321at5794	DNA polymerase
2374at5794	Complete	3311_g	1310.8	824	https://www.orthodb.org/v10?query=2374at5794	Oxoglutarate dehydrogenase (Succinyl-transferring), E1 component
2387at5794	Complete	6461_g	520.5	432	https://www.orthodb.org/v10?query=2387at5794	Exportin, putative
2587at5794	Fragmented	1638_g	557.0	428	https://www.orthodb.org/v10?query=2587at5794	WD40-repeat-containing domain
2619at5794	Complete	1991_g	842.4	470	https://www.orthodb.org/v10?query=2619at5794	Valyl-tRNA synthetase
2648at5794	Fragmented	2764_g	744.6	545	https://www.orthodb.org/v10?query=2648at5794	Histidine kinase/HSP90-like ATPase
2676at5794	Complete	1111_g	557.4	448	https://www.orthodb.org/v10?query=2676at5794	Leucyl-tRNA synthetase
2708at5794	Missing
2737at5794	Fragmented	3474_g	439.1	287	https://www.orthodb.org/v10?query=2737at5794	peptidase M16 inactive domain-containing protein
2816at5794	Complete	1885_g	1481.7	824	https://www.orthodb.org/v10?query=2816at5794	Splicing factor 3B subunit 1, putative
2838at5794	Complete	3126_g	710.8	423	https://www.orthodb.org/v10?query=2838at5794	ATP-dependent helicase, C-terminal
2962at5794	Complete	1191_g	1216.2	671	https://www.orthodb.org/v10?query=2962at5794	Serine/threonine-protein phosphatase
3002at5794	Fragmented	633_g	327.7	209	https://www.orthodb.org/v10?query=3002at5794	Coatomer subunit beta
3086at5794	Complete	100_g	1074.6	854	https://www.orthodb.org/v10?query=3086at5794	Transcription elongation factor FACT 140 kDa, putative
3102at5794	Missing
3154at5794	Complete	2499_g	1298.8	900	https://www.orthodb.org/v10?query=3154at5794	P-type ATPase
3187at5794	Complete	2285_g	615.1	580	https://www.orthodb.org/v10?query=3187at5794	RNA cytidine acetyltransferase
3274at5794	Complete	3435_g	973.7	695	https://www.orthodb.org/v10?query=3274at5794	26S proteasome non-ATPase regulatory subunit 2, putative
3296at5794	Complete	693_g	1443.5	727	https://www.orthodb.org/v10?query=3296at5794	Elongation factor 2
3349at5794	Complete	829_g	708.7	622	https://www.orthodb.org/v10?query=3349at5794	Importin subunit beta-1, putative
3366at5794	Complete	213_g	1056.1	620	https://www.orthodb.org/v10?query=3366at5794	DNA helicase
3388at5794	Missing
3446at5794	Complete	2785_g	1208.8	714	https://www.orthodb.org/v10?query=3446at5794	cGMP-dependent protein kinase
3522at5794	Complete	3314_g	852.0	587	https://www.orthodb.org/v10?query=3522at5794	Gelsolin-like domain
3558at5794	Complete	2014_g	999.9	652	https://www.orthodb.org/v10?query=3558at5794	SNF2-related, N-terminal domain
3686at5794	Fragmented	4364_g	611.1	444	https://www.orthodb.org/v10?query=3686at5794	Coatomer alpha subunit, putative
3730at5794	Complete	3766_g	833.4	599	https://www.orthodb.org/v10?query=3730at5794	Radical SAM
3823at5794	Complete	1107_g	1449.4	708	https://www.orthodb.org/v10?query=3823at5794	Ribonucleoside-diphosphate reductase
3933at5794	Complete	931_g	679.2	744	https://www.orthodb.org/v10?query=3933at5794	Wd g-beta repeat-containing protein
4086at5794	Missing
4144at5794	Fragmented	2531_g	241.1	331	https://www.orthodb.org/v10?query=4144at5794	CLU domain
4152at5794	Missing
4162at5794	Complete	3537_g	1036.2	821	https://www.orthodb.org/v10?query=4162at5794	Pre-mRNA splicing factor
4227at5794	Complete	3166_g	454.3	426	https://www.orthodb.org/v10?query=4227at5794	Vacuolar protein sorting-associated protein 35
4246at5794	Complete	1133_g	981.2	626	https://www.orthodb.org/v10?query=4246at5794	Threonine--tRNA ligase
4291at5794	Missing
4370at5794	Complete	1421_g	709.3	767	https://www.orthodb.org/v10?query=4370at5794	Ubiquitin conjugation factor E4 B, putative
4404at5794	Complete	4136_g	707.9	431	https://www.orthodb.org/v10?query=4404at5794	Mini-chromosome maintenance, conserved site
4430at5794	Complete	3092_g	727.6	665	https://www.orthodb.org/v10?query=4430at5794	Eukaryotic translation initiation factor 3 subunit C
4526at5794	Complete	6436_g	548.9	620	https://www.orthodb.org/v10?query=4526at5794	Ubiquitin carboxyl-terminal hydrolase
4564at5794	Complete	2337_g	1105.3	633	https://www.orthodb.org/v10?query=4564at5794	Protein transport protein SEC23
4642at5794	Complete	4105_g	1080.4	649	https://www.orthodb.org/v10?query=4642at5794	Helicase, C-terminal
4695at5794	Fragmented	2292_g	881.1	430	https://www.orthodb.org/v10?query=4695at5794	ATPase, AAA-type, conserved site
4846at5794	Complete	467_g	687.5	670	https://www.orthodb.org/v10?query=4846at5794	Ankyrin repeat-containing domain
4856at5794	Complete	6998_g	745.2	556	https://www.orthodb.org/v10?query=4856at5794	Eukaryotic translation initiation factor 3 subunit B
4967at5794	Complete	6742_g	589.2	539	https://www.orthodb.org/v10?query=4967at5794	Heat shock protein
5067at5794	Complete	777_g	339.1	423	https://www.orthodb.org/v10?query=5067at5794	Heat shock protein 110, putative
5247at5794	Complete	6515_g	945.0	586	https://www.orthodb.org/v10?query=5247at5794	Heat shock protein 90, putative
5412at5794	Complete	715_g	557.8	582	https://www.orthodb.org/v10?query=5412at5794	Pre-mRNA-splicing factor SYF1
5445at5794	Complete	1194_g	470.5	446	https://www.orthodb.org/v10?query=5445at5794	Protein SEY1 homolog
5504at5794	Complete	1139_g	586.0	896	https://www.orthodb.org/v10?query=5504at5794	Putative rRNA methyltransferase
5510at5794	Complete	216_g	282.7	412	https://www.orthodb.org/v10?query=5510at5794	Integral membrane protein
5696at5794	Complete	2751_g	646.5	483	https://www.orthodb.org/v10?query=5696at5794	DNA ligase
5869at5794	Complete	6250_g	558.4	335	https://www.orthodb.org/v10?query=5869at5794	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
